date,season,year,month,days,workingday,weather,temperature,atemp,humidity,windspeed,casual,registered,count,kelembapan
2011-03-27,Summer,2011,March,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.4,12.5,49.4,12.3,472,1221,1693,Normal
2011-03-28,Summer,2011,March,Tuesday,Working Day,Clear / Partly cloudy,10.8,12.9,30.2,14.2,222,1806,2028,Too Humid
2011-03-29,Summer,2011,March,Wednesday,Working Day,Clear / Partly cloudy,12.4,14.6,31.4,15.2,317,2108,2425,Too Humid
2011-03-30,Summer,2011,March,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.3,14.9,64.7,11.6,168,1368,1536,Normal
2011-03-31,Summer,2011,March,Friday,Working Day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",11.0,12.9,91.8,14.6,179,1506,1685,Too Dry
2011-04-01,Summer,2011,April,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.3,14.2,68.6,17.3,307,1920,2227,Too Dry
2011-04-02,Summer,2011,April,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.9,15.8,65.4,13.2,898,1354,2252,Too Dry
2011-04-03,Summer,2011,April,Monday,Weekend / Holiday,Clear / Partly cloudy,15.5,18.9,48.0,12.2,1651,1598,3249,Normal
2011-04-04,Summer,2011,April,Tuesday,Working Day,Clear / Partly cloudy,23.5,27.1,42.6,25.8,734,2381,3115,Too Humid
2011-04-05,Summer,2011,April,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.0,19.9,64.2,26.0,167,1628,1795,Normal
2011-04-06,Summer,2011,April,Thursday,Working Day,Clear / Partly cloudy,16.0,19.4,47.1,17.6,413,2395,2808,Normal
2011-04-07,Summer,2011,April,Friday,Working Day,Clear / Partly cloudy,17.9,21.7,60.3,10.9,571,2570,3141,Normal
2011-04-08,Summer,2011,April,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.8,16.2,83.6,15.2,172,1299,1471,Too Dry
2011-04-09,Summer,2011,April,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",14.0,17.1,87.8,8.9,879,1576,2455,Too Dry
2011-04-10,Summer,2011,April,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.5,21.3,85.8,9.8,1188,1707,2895,Too Dry
2011-04-11,Summer,2011,April,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",24.4,28.3,71.7,21.7,855,2493,3348,Too Dry
2011-04-12,Summer,2011,April,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20.6,24.7,73.9,18.4,257,1777,2034,Too Dry
2011-04-13,Summer,2011,April,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.9,20.9,81.9,16.8,209,1953,2162,Too Dry
2011-04-14,Summer,2011,April,Friday,Working Day,Clear / Partly cloudy,19.2,23.1,54.0,7.4,529,2738,3267,Normal
2011-04-15,Summer,2011,April,Saturday,Weekend / Holiday,Clear / Partly cloudy,18.3,22.1,67.1,15.2,642,2484,3126,Too Dry
2011-04-16,Summer,2011,April,Sunday,Weekend / Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.7,21.3,88.8,22.8,121,674,795,Too Dry
2011-04-17,Summer,2011,April,Monday,Weekend / Holiday,Clear / Partly cloudy,18.7,22.3,48.0,20.3,1558,2186,3744,Normal
2011-04-18,Summer,2011,April,Tuesday,Working Day,Clear / Partly cloudy,21.0,25.2,54.2,11.0,669,2760,3429,Normal
2011-04-19,Summer,2011,April,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",20.7,24.5,66.6,10.6,409,2795,3204,Too Dry
2011-04-20,Summer,2011,April,Thursday,Working Day,Clear / Partly cloudy,24.4,28.2,61.4,16.2,613,3331,3944,Normal
2011-04-21,Summer,2011,April,Friday,Working Day,Clear / Partly cloudy,18.8,22.7,40.7,21.8,745,3444,4189,Too Humid
2011-04-22,Summer,2011,April,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.8,16.1,73.0,14.7,177,1506,1683,Too Dry
2011-04-23,Summer,2011,April,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.9,22.5,88.8,15.5,1462,2574,4036,Too Dry
2011-04-24,Summer,2011,April,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.8,27.6,81.1,12.9,1710,2481,4191,Too Dry
2011-04-25,Summer,2011,April,Tuesday,Working Day,Clear / Partly cloudy,24.9,28.7,77.7,12.4,773,3300,4073,Too Dry
2011-04-26,Summer,2011,April,Wednesday,Working Day,Clear / Partly cloudy,25.9,29.7,72.9,21.9,678,3722,4400,Too Dry
2011-04-27,Summer,2011,April,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.4,28.8,83.5,20.9,547,3325,3872,Too Dry
2011-04-28,Summer,2011,April,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.3,28.9,70.1,21.5,569,3489,4058,Too Dry
2011-04-29,Summer,2011,April,Saturday,Working Day,Clear / Partly cloudy,20.9,24.9,45.7,16.1,878,3717,4595,Normal
2011-04-30,Summer,2011,April,Sunday,Weekend / Holiday,Clear / Partly cloudy,19.4,23.2,50.3,15.8,1965,3347,5312,Normal
2011-05-01,Summer,2011,May,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.5,22.4,76.2,7.1,1138,2213,3351,Too Dry
2011-05-02,Summer,2011,May,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22.5,26.6,73.0,12.3,847,3554,4401,Too Dry
2011-05-03,Summer,2011,May,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.3,29.1,69.7,23.0,603,3848,4451,Too Dry
2011-05-04,Summer,2011,May,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.0,20.2,73.7,22.0,255,2378,2633,Too Dry
2011-05-05,Summer,2011,May,Friday,Working Day,Clear / Partly cloudy,18.8,22.1,44.4,19.8,614,3819,4433,Too Humid
2011-05-06,Summer,2011,May,Saturday,Working Day,Clear / Partly cloudy,19.6,23.7,59.0,15.3,894,3714,4608,Normal
2011-05-07,Summer,2011,May,Sunday,Weekend / Holiday,Clear / Partly cloudy,21.3,25.6,54.1,10.8,1612,3102,4714,Normal
2011-05-08,Summer,2011,May,Monday,Weekend / Holiday,Clear / Partly cloudy,21.7,25.9,63.2,5.0,1401,2932,4333,Normal
2011-05-09,Summer,2011,May,Tuesday,Working Day,Clear / Partly cloudy,21.8,26.3,58.9,11.8,664,3698,4362,Normal
2011-05-10,Summer,2011,May,Wednesday,Working Day,Clear / Partly cloudy,21.8,26.1,48.9,7.7,694,4109,4803,Normal
2011-05-11,Summer,2011,May,Thursday,Working Day,Clear / Partly cloudy,22.2,26.4,63.3,8.1,550,3632,4182,Normal
2011-05-12,Summer,2011,May,Friday,Working Day,Clear / Partly cloudy,21.9,26.2,74.8,12.7,695,4169,4864,Too Dry
2011-05-13,Summer,2011,May,Saturday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.0,24.7,86.3,12.0,692,3413,4105,Too Dry
2011-05-14,Summer,2011,May,Sunday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.4,25.0,92.2,9.0,902,2507,3409,Too Dry
2011-05-15,Summer,2011,May,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.1,26.8,86.7,10.2,1582,2971,4553,Too Dry
2011-05-16,Summer,2011,May,Tuesday,Working Day,Clear / Partly cloudy,23.7,27.5,78.8,8.5,773,3185,3958,Too Dry
2011-05-17,Summer,2011,May,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",23.0,26.9,83.8,18.6,678,3445,4123,Too Dry
2011-05-18,Summer,2011,May,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",22.6,26.4,87.0,13.5,536,3319,3855,Too Dry
2011-05-19,Summer,2011,May,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",21.8,25.5,83.0,7.3,735,3840,4575,Too Dry
2011-05-20,Summer,2011,May,Saturday,Working Day,Clear / Partly cloudy,22.0,26.5,72.0,8.4,909,4008,4917,Too Dry
2011-05-21,Summer,2011,May,Sunday,Weekend / Holiday,Clear / Partly cloudy,24.7,28.6,62.7,8.1,2258,3547,5805,Normal
2011-05-22,Summer,2011,May,Monday,Weekend / Holiday,Clear / Partly cloudy,24.8,28.7,75.0,9.9,1576,3084,4660,Too Dry
2011-05-23,Summer,2011,May,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.9,29.5,81.0,15.7,836,3438,4274,Too Dry
2011-05-24,Summer,2011,May,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",27.1,30.2,74.1,13.9,659,3833,4492,Too Dry
2011-05-25,Summer,2011,May,Thursday,Working Day,Clear / Partly cloudy,27.1,30.8,69.6,10.3,740,4238,4978,Too Dry
2011-05-26,Summer,2011,May,Friday,Working Day,Clear / Partly cloudy,29.0,32.7,67.8,13.4,758,3919,4677,Too Dry
2011-05-27,Summer,2011,May,Saturday,Working Day,Clear / Partly cloudy,27.9,31.9,65.4,16.1,871,3808,4679,Too Dry
2011-05-28,Summer,2011,May,Sunday,Weekend / Holiday,Clear / Partly cloudy,26.9,30.6,73.0,15.4,2001,2757,4758,Too Dry
2011-05-29,Summer,2011,May,Monday,Weekend / Holiday,Clear / Partly cloudy,27.4,30.8,81.9,14.3,2355,2433,4788,Too Dry
2011-05-30,Summer,2011,May,Tuesday,Weekend / Holiday,Clear / Partly cloudy,30.1,33.6,68.5,8.8,1549,2549,4098,Too Dry
2011-05-31,Summer,2011,May,Wednesday,Working Day,Clear / Partly cloudy,31.8,36.3,63.7,7.5,673,3309,3982,Normal
2011-06-01,Summer,2011,June,Thursday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",31.3,36.0,67.7,13.9,513,3461,3974,Too Dry
2011-06-02,Summer,2011,June,Friday,Working Day,Clear / Partly cloudy,29.3,32.2,30.5,19.6,736,4232,4968,Too Humid
2011-06-03,Summer,2011,June,Saturday,Working Day,Clear / Partly cloudy,25.4,29.4,35.4,17.0,898,4414,5312,Too Humid
2011-06-04,Summer,2011,June,Sunday,Weekend / Holiday,Clear / Partly cloudy,26.0,29.7,45.6,8.3,1869,3473,5342,Normal
2011-06-05,Summer,2011,June,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",26.6,30.8,65.2,9.3,1685,3221,4906,Too Dry
2011-06-06,Summer,2011,June,Tuesday,Working Day,Clear / Partly cloudy,27.8,31.1,60.0,8.2,673,3875,4548,Normal
2011-06-07,Summer,2011,June,Wednesday,Working Day,Clear / Partly cloudy,29.0,32.8,59.8,12.6,763,4070,4833,Normal
2011-06-08,Summer,2011,June,Thursday,Working Day,Clear / Partly cloudy,31.8,36.4,62.2,9.2,676,3725,4401,Normal
2011-06-09,Summer,2011,June,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",33.1,37.9,56.8,10.0,563,3352,3915,Normal
2011-06-10,Summer,2011,June,Saturday,Working Day,Clear / Partly cloudy,31.0,35.2,60.5,9.4,815,3771,4586,Normal
2011-06-11,Summer,2011,June,Sunday,Weekend / Holiday,Clear / Partly cloudy,29.7,33.9,65.5,10.4,1729,3237,4966,Too Dry
2011-06-12,Summer,2011,June,Monday,Weekend / Holiday,Clear / Partly cloudy,28.4,32.2,74.8,11.0,1467,2993,4460,Too Dry
2011-06-13,Summer,2011,June,Tuesday,Working Day,Clear / Partly cloudy,26.0,30.1,49.5,20.5,863,4157,5020,Normal
2011-06-14,Summer,2011,June,Wednesday,Working Day,Clear / Partly cloudy,24.8,29.6,50.7,18.0,727,4164,4891,Normal
2011-06-15,Summer,2011,June,Thursday,Working Day,Clear / Partly cloudy,25.7,29.4,47.2,11.3,769,4411,5180,Normal
2011-06-16,Summer,2011,June,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",25.8,29.8,68.8,13.8,545,3222,3767,Too Dry
2011-06-17,Summer,2011,June,Saturday,Working Day,Clear / Partly cloudy,26.6,30.0,73.6,9.6,863,3981,4844,Too Dry
2011-06-18,Summer,2011,June,Sunday,Weekend / Holiday,Clear / Partly cloudy,28.6,32.2,67.0,8.0,1807,3312,5119,Too Dry
2011-06-19,Summer,2011,June,Monday,Weekend / Holiday,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",28.7,32.3,66.7,6.8,1639,3105,4744,Too Dry
2011-06-20,Summer,2011,June,Tuesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",26.0,29.8,74.6,10.4,699,3311,4010,Too Dry
2011-06-21,Fall,2011,June,Wednesday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",27.9,31.9,77.0,11.5,774,4061,4835,Too Dry
2011-06-22,Fall,2011,June,Thursday,Working Day,Clear / Partly cloudy,30.1,34.7,70.8,11.5,661,3846,4507,Too Dry
2011-06-23,Fall,2011,June,Friday,Working Day,"Misty + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",29.9,34.7,70.3,16.0,746,4044,4790,Too Dry
2011-06-24,Fall,2011,June,Saturday,Working Day,Clear / Partly cloudy,29.7,32.8,57.3,14.9,969,4022,4991,Normal
2011-06-25,Fall,2011,June,Sunday,Weekend / Holiday,Clear / Partly cloudy,28.5,32.2,48.3,14.0,1782,3420,5202,Normal
